,ASI,ASJ,AWA,ASG,AWB,ASE,ADF,AFD,AWC,ASK,ASH,ADL,BAG,URX,ALN,PLN,SDQ,AQR,PQR,ALM,AVM,PVM,PLM,FLP,DVA,PVD,ADE,PDE,PHA,PHB,PHC,IL2,CEP,URY,OLL,OLQ,IL1,AIN,AIM,RIH,URB,RIR,AIY,AIA,AUA,AIZ,RIS,PVQ,ADA,RIF,BDU,PVR,AVF,AVH,PVP,LUA,PVN,AVG,DVB,RIB,RIG,RMG,AIB,RIC,SAA,AVK,DVC,AVJ,PVT,AVD,AVL,PVW,RIA,RIM,AVE,RMF,RID,AVB,AVA,PVC,RIP,URA,RME,RMD,RIV,RMH,SAB,SMD,SMB,SIB,SIA,MNVC,MUBODY,MUHEAD,CEPsh,GLR,CAN,exc_cell,exc_gl,gonad,hmc,hyp,int,mu_anal,mu_int,mu_sph,CEM,MCM,EFn,MALE
ASI,,,,8,,,,13,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,4,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
ASJ,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,46,,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWA,2,,,,10,5,24,24,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,2,138,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,127,,3,,,,,,,,,,,,,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWB,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,14,,,,,,,,,,,,,,15,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
ASE,,,,,,,,2,18,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2,,8,,,,,,,,,,,,,,1,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADF,,,2,2,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,13,61,,,2,,,,,,,,,,,1,9,,,,,,,,,,,,80,,,,,,,,1,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,
AFD,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
AWC,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,13,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASK,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,46,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASH,,,,,,,12,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,5,,1,,,5,,,,,,,,,,22,,,,,,,38,,,8,,,,,5,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
ADL,,,,10,,4,,,,1,15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,24,,,,1,,,,,3,1,1,,,,,,,,69,,,,,10,,53,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
BAG,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,20,15,,1,,,,,,,,,,39,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,6,,,,,,,,,,,,,,,,17,2,,1,,,,,,,,,8,,19,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,44,,,,,,,,,4,,,,,2,,,,,,,,,15,5,,4,,,,,,,,,,,,,,,,,,,
PLN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,63,,,,,,,,,,,,,,,,,,,1,,,,4,35,,11,,,,,,,,3,,,,,,,,,,,
SDQ,,,,,,,,,,,,,,,,,14,,,13,,,,16,25,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,2,,,,,,,,,,,,,56,,2,,,,,10,,,,11,,4,,,,,,,,,,,,,,,,,,,
AQR,,,,,,,,,,,,,3,,,,,,,2,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,11,,,,,14,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
