,ASI,ASJ,AWA,ASG,AWB,ASE,ADF,AFD,AWC,ASK,ASH,ADL,BAG,URX,ALN,PLN,SDQ,AQR,PQR,ALM,AVM,PVM,PLM,FLP,DVA,PVD,ADE,PDE,PHA,PHB,PHC,IL2,CEP,URY,OLL,OLQ,IL1,AIN,AIM,RIH,URB,RIR,AIY,AIA,AUA,AIZ,RIS,ALA,PVQ,ADA,RIF,BDU,PVR,AVF,AVH,PVP,LUA,PVN,AVG,DVB,RIB,RIG,RMG,AIB,RIC,SAA,AVK,DVC,AVJ,PVT,AVD,AVL,PVW,RIA,RIM,AVE,RMF,RID,AVB,AVA,PVC,RIP,URA,RME,RMD,RIV,RMH,SAB,SMD,SMB,SIB,SIA,MNVC,MUHEAD,MUBODY,CEPsh,GLR,CAN,exc_cell,exc_gl,hmc,hyp,int,mu_int,mu_anal,mu_sph,HSN,VC,um,vm
ASI,6,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
ASJ,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
AWA,,,4,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASG,4,,,,1,6,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
AWB,,,,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE,,,,6,1,,,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
ADF,,,3,1,1,,,8,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,4,,1,,,,9,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,2,1,,,,,,,1,,,1,,2,,,,,,,,
AFD,,,,,,9,8,2,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AWC,,,,2,,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASK,,,,,,,,,,20,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,33,,,,,,18,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,
ASH,,,,,,,1,4,,20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,8,,,,5,,,,,2,,,,,,,,6,,9,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADL,,,1,1,,,,,,1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
BAG,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,9,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALN,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,3,,,,,,,,
PLN,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,7,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,
SDQ,,,,,,,,,,,,,,,,,4,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,8,,,,,2,2,,,,,,,,,,,,,,,,,,
AQR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,3,,,,,9,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PQR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,5,,,,,,,,,,,7,,5,,,,,,,,,17,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
ALM,,,,,,,,,,,,,,,,,2,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,
AVM,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVM,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,19,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PLM,,,,,,,,,,,,,,,,1,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,17,,,,,,,,,,,,,,5,,,,,,,,,6,12,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
FLP,,,,,,,,,,,,,,,,,1,,,,,,,12,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,16,,,,,,,,,,,,,,,,,,,,,1,29,,,,,,,,,,,,,,,,,
DVA,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,15,,,1,,,,,,,,,,1,18,1,,8,,,,,,,,,14,,4,,,,,,,,,,,2,12,,,,,,,,,4,,,,,,,,
PVD,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,10,3,,,,,,,,,,,,6,,,,,200,,,800,800,,,,,,,,
ADE,,,,,,,,,,,,,,,2,,,,,,,1,,4,,,,,,,,2,,,,,,6,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,4,,1,,,,,,,,,,,,,,,1,1,,,,,,2,,,,,,,,,,,,,,,,,,,
